,year,Concept,county,pda,Variable,value,source
1777,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq3,48.0,baseyear A
1778,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq4,87.0,baseyear A
1779,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq1,22.0,modeled
1780,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq2,41.0,modeled
1781,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq3,34.0,modeled
1782,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq4,95.0,modeled
1783,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq1,528.0,modeled
1784,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq2,107.0,modeled
1785,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq3,148.0,modeled
1786,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq4,309.0,modeled
1787,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq1,383.0,modeled
1788,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq2,129.0,modeled
1789,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq3,178.0,modeled
1790,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq4,402.0,modeled
1791,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq1,271.0,modeled
1792,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq2,145.0,modeled
1793,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq3,191.0,modeled
1794,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-City Center,hhincq4,457.0,modeled
1795,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq2,4.0,baseyear B
1796,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq3,10.0,baseyear B
1797,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq4,12.0,baseyear B
1798,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq1,127.0,baseyear A
1799,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq2,4.0,baseyear A
1800,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq3,5.0,baseyear A
1801,2010,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq4,13.0,baseyear A
1802,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq1,215.0,modeled
1803,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq2,14.0,modeled
1804,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq3,16.0,modeled
1805,2015,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq4,33.0,modeled
1806,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq1,76.0,modeled
1807,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq2,38.0,modeled
1808,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq3,62.0,modeled
1809,2030,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq4,101.0,modeled
1810,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq1,332.0,modeled
1811,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq2,36.0,modeled
1812,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq3,62.0,modeled
1813,2035,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq4,124.0,modeled
1814,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq1,590.0,modeled
1815,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq2,56.0,modeled
1816,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq3,83.0,modeled
1817,2040,Househ. by Inc. Quartile,Contra Costa,San Ramon-North Camino Ramon,hhincq4,173.0,modeled
1818,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq1,1453.0,baseyear B
1819,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq2,1638.0,baseyear B
1820,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq3,1370.0,baseyear B
1821,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq4,475.0,baseyear B
1822,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq1,1630.0,baseyear A
1823,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq2,1625.0,baseyear A
1824,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq3,1252.0,baseyear A
1825,2010,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq4,719.0,baseyear A
1826,2015,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq1,2249.0,modeled
1827,2015,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq2,1420.0,modeled
1828,2015,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq3,1303.0,modeled
1829,2015,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq4,1194.0,modeled
1830,2030,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq1,2634.0,modeled
1831,2030,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq2,1466.0,modeled
1832,2030,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq3,1572.0,modeled
1833,2030,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq4,2190.0,modeled
1834,2035,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq1,4200.0,modeled
1835,2035,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq2,1521.0,modeled
1836,2035,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq3,1719.0,modeled
1837,2035,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq4,2646.0,modeled
1838,2040,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq1,3637.0,modeled
1839,2040,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq2,1667.0,modeled
1840,2040,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq3,1915.0,modeled
1841,2040,Househ. by Inc. Quartile,Contra Costa,Walnut Creek-Core Area,hhincq4,3220.0,modeled
1842,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq1,527.0,baseyear B
1843,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq2,337.0,baseyear B
1844,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq3,265.0,baseyear B
1845,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq4,284.0,baseyear B
1846,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq1,789.0,baseyear A
1847,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq2,351.0,baseyear A
1848,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq3,253.0,baseyear A
1849,2010,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq4,251.0,baseyear A
1850,2015,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq1,786.0,modeled
1851,2015,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq2,346.0,modeled
1852,2015,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq3,260.0,modeled
1853,2015,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq4,270.0,modeled
1854,2030,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq1,843.0,modeled
1855,2030,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq2,334.0,modeled
1856,2030,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq3,251.0,modeled
1857,2030,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq4,296.0,modeled
1858,2035,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq1,869.0,modeled
1859,2035,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq2,349.0,modeled
1860,2035,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq3,279.0,modeled
1861,2035,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq4,283.0,modeled
1862,2040,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq1,848.0,modeled
1863,2040,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq2,397.0,modeled
1864,2040,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq3,267.0,modeled
1865,2040,Househ. by Inc. Quartile,Marin,Marin County-Urbanized 101 Corridor,hhincq4,279.0,modeled
1866,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq1,461.0,baseyear B
1867,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq2,394.0,baseyear B
1868,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq3,369.0,baseyear B
1869,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq4,445.0,baseyear B
1870,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq1,408.0,baseyear A
1871,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq2,401.0,baseyear A
1872,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq3,382.0,baseyear A
1873,2010,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq4,442.0,baseyear A
1874,2015,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq1,359.0,modeled
1875,2015,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq2,397.0,modeled
1876,2015,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq3,399.0,modeled
1877,2015,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq4,542.0,modeled
1878,2030,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq1,863.0,modeled
1879,2030,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq2,413.0,modeled
1880,2030,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq3,460.0,modeled
1881,2030,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq4,639.0,modeled
1882,2035,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq1,770.0,modeled
1883,2035,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq2,477.0,modeled
1884,2035,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq3,521.0,modeled
1885,2035,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq4,703.0,modeled
1886,2040,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq1,717.0,modeled
1887,2040,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq2,536.0,modeled
1888,2040,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq3,556.0,modeled
1889,2040,Househ. by Inc. Quartile,Marin,San Rafael-Downtown,hhincq4,755.0,modeled
1890,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq1,161.0,baseyear B
1891,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq2,127.0,baseyear B
1892,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq3,89.0,baseyear B
1893,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq4,35.0,baseyear B
1894,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq1,134.0,baseyear A
1895,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq2,116.0,baseyear A
1896,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq3,80.0,baseyear A
1897,2010,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq4,55.0,baseyear A
1898,2015,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq1,110.0,modeled
1899,2015,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq2,106.0,modeled
1900,2015,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq3,91.0,modeled
1901,2015,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq4,87.0,modeled
1902,2030,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq1,58.0,modeled
1903,2030,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq2,115.0,modeled
1904,2030,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq3,110.0,modeled
1905,2030,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq4,153.0,modeled
1906,2035,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq1,80.0,modeled
1907,2035,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq2,109.0,modeled
1908,2035,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq3,107.0,modeled
1909,2035,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq4,165.0,modeled
1910,2040,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq1,116.0,modeled
1911,2040,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq2,98.0,modeled
1912,2040,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq3,105.0,modeled
1913,2040,Househ. by Inc. Quartile,Napa,American Canyon-Highway 29 Corridor,hhincq4,175.0,modeled
1914,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq1,126.0,baseyear B
1915,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq2,118.0,baseyear B
1916,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq3,66.0,baseyear B
1917,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq4,60.0,baseyear B
1918,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq1,133.0,baseyear A
1919,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq2,116.0,baseyear A
1920,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq3,69.0,baseyear A
1921,2010,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq4,61.0,baseyear A
1922,2015,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq1,107.0,modeled
1923,2015,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq2,116.0,modeled
1924,2015,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq3,80.0,modeled
1925,2015,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq4,85.0,modeled
1926,2030,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq1,107.0,modeled
1927,2030,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq2,97.0,modeled
1928,2030,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq3,118.0,modeled
1929,2030,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq4,136.0,modeled
1930,2035,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq1,215.0,modeled
1931,2035,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq2,95.0,modeled
1932,2035,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq3,119.0,modeled
1933,2035,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq4,147.0,modeled
1934,2040,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq1,298.0,modeled
1935,2040,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq2,102.0,modeled
1936,2040,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq3,123.0,modeled
1937,2040,Househ. by Inc. Quartile,Napa,Napa-Downtown Napa and Soscol Gateway Corridor,hhincq4,190.0,modeled
1938,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq1,2318.0,baseyear B
1939,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq2,2281.0,baseyear B
1940,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq3,1867.0,baseyear B
1941,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq4,1550.0,baseyear B
1942,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq1,2053.0,baseyear A
1943,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq2,1901.0,baseyear A
1944,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq3,1499.0,baseyear A
1945,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq4,1548.0,baseyear A
1946,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq1,3773.0,modeled
1947,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq2,1653.0,modeled
1948,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq3,1410.0,modeled
1949,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq4,1748.0,modeled
1950,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq1,6879.0,modeled
1951,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq2,2546.0,modeled
1952,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq3,2387.0,modeled
1953,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq4,3140.0,modeled
1954,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq1,6837.0,modeled
1955,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq2,2765.0,modeled
1956,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq3,2829.0,modeled
1957,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq4,4201.0,modeled
1958,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq1,5228.0,modeled
1959,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq2,3258.0,modeled
1960,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq3,3314.0,modeled
1961,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-19th Avenue,hhincq4,4995.0,modeled
1962,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq1,74.0,baseyear B
1963,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq2,81.0,baseyear B
1964,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq3,76.0,baseyear B
1965,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq4,81.0,baseyear B
1966,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq1,231.0,baseyear A
1967,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq2,93.0,baseyear A
1968,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq3,75.0,baseyear A
1969,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq4,74.0,baseyear A
1970,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq1,273.0,modeled
1971,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq2,98.0,modeled
1972,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq3,86.0,modeled
1973,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq4,108.0,modeled
1974,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq1,281.0,modeled
1975,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq2,148.0,modeled
1976,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq3,117.0,modeled
1977,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq4,176.0,modeled
1978,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq1,214.0,modeled
1979,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq2,175.0,modeled
1980,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq3,148.0,modeled
1981,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq4,183.0,modeled
1982,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq1,179.0,modeled
1983,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq2,164.0,modeled
1984,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq3,162.0,modeled
1985,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Balboa Park,hhincq4,212.0,modeled
1986,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq1,4189.0,baseyear B
1987,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq2,2675.0,baseyear B
1988,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq3,2147.0,baseyear B
1989,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq4,1210.0,baseyear B
1990,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq1,5322.0,baseyear A
1991,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq2,2795.0,baseyear A
1992,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq3,1967.0,baseyear A
1993,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq4,1366.0,baseyear A
1994,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq1,10582.0,modeled
1995,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq2,2674.0,modeled
1996,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq3,2087.0,modeled
1997,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq4,1754.0,modeled
1998,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq1,12783.0,modeled
1999,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq2,4751.0,modeled
2000,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq3,3767.0,modeled
2001,2030,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq4,3536.0,modeled
2002,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq1,12593.0,modeled
2003,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq2,5253.0,modeled
2004,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq3,4458.0,modeled
2005,2035,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq4,5039.0,modeled
2006,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq1,20031.0,modeled
2007,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq2,5496.0,modeled
2008,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq3,4992.0,modeled
2009,2040,Househ. by Inc. Quartile,San Francisco,San Francisco-Bayview/Hunters Point Shipyard/Candlestick Point,hhincq4,6626.0,modeled
2010,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq1,35472.0,baseyear B
2011,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq2,20407.0,baseyear B
2012,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq3,13526.0,baseyear B
2013,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq4,13479.0,baseyear B
2014,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq1,35158.0,baseyear A
2015,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq2,22904.0,baseyear A
2016,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq3,14390.0,baseyear A
2017,2010,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq4,14374.0,baseyear A
2018,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq1,37167.0,modeled
2019,2015,Househ. by Inc. Quartile,San Francisco,San Francisco-Downtown-Van Ness-Geary,hhincq2,21927.0,modeled
